genome	domain	taxon_name
7000000243	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 604812005"
7000000246	*Microbiome	"Human stool microbial communities from NIH, USA - visit number 3 of subject 159227541"
7000000252	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 158479027"
7000000258	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 765074482"
7000000262	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 764224817"
7000000265	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 158256496"
7000000271	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 508703490"
7000000272	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 764649650"
7000000278	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160158126"
7000000282	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 763678604"
7000000289	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 159551223"
7000000296	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 159247771"
7000000297	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 764325968"
7000000300	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 159814214"
7000000302	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 159268001"
7000000306	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 550534656"
7000000308	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 160158126"
7000000317	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 763577454"
7000000320	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 809635352"
7000000329	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159753524 replicate 1"
7000000332	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 763901136"
7000000333	*Microbiome	"Human stool microbial communities from NIH, USA - visit 2, subject 763860675"
7000000334	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 764143897"
7000000335	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 764042746"
7000000348	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 160582958"
7000000352	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 763860675"
7000000360	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159915365"
7000000370	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159814214"
7000000372	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 404239096"
7000000373	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 159490532"
7000000380	*Microbiome	"Human stool microbial communities from NIH, USA - visit 1, subject 764487809"
